Ficheiro,Tempo,Mop's
cg.A.x.txt,1.13,1324.97
cg.B.x.txt,100.49,544.42
cg.C.x.txt,286.67,500.04
ep.A.x.txt,18.35,29.25
ep.B.x.txt,73.39,29.26
ep.C.x.txt,293.62,29.26
is.A.x.txt,0.93,90.35
is.B.x.txt,3.91,85.80
is.C.x.txt,17.61,76.23
