Ficheiro,Tempo,Mop's
cg.A.x.txt,1.41,1063.46
cg.B.x.txt,78.29,698.76
cg.C.x.txt,236.58,605.91
ep.A.x.txt,10.17,61.93
ep.B.x.txt,34.68,61.93
ep.C.x.txt,138.99,61.80
is.A.x.txt,0.72,117.29
is.B.x.txt,3.01,111.44
is.C.x.txt,13.56,98.97
