Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.B.x-1.txt,100.80,542.75,1,542.75
cg.B.x-10.txt,12.51,4374.76,10,437.48
cg.B.x-12.txt,10.90,5017.57,12,418.13
cg.B.x-16.txt,9.01,6075.28,16,379.71
cg.B.x-2.txt,54.21,1009.12,2,504.56
cg.B.x-24.txt,10.58,5170.56,24,215.44
cg.B.x-32.txt,8.80,6219.64,32,194.36
cg.B.x-34.txt,12.18,4491.80,34,132.11
cg.B.x-4.txt,29.28,1868.17,4,467.04
cg.B.x-8.txt,18.54,2950.98,8,368.87
