Ficheiro,Tempo,Mop's
cg.A.x.txt,1.47,1018.88
cg.B.x.txt,86.42,633.08
cg.C.x.txt,262.57,545.93
ep.A.x.txt,19.14,28.04
ep.B.x.txt,76.64,28.02
ep.C.x.txt,306.36,28.04
is.A.x.txt,0.82,101.72
is.B.x.txt,3.46,96.93
is.C.x.txt,15.24,88.08
