Ficheiro,Tempo,Mop's
cg.A.x.txt,1.28,1169.01
cg.B.x.txt,102.17,535.47
cg.C.x.txt,401.18,357.32
ep.A.x.txt,18.68,28.74
ep.B.x.txt,74.64,28.77
ep.C.x.txt,298.68,28.76
is.A.x.txt,0.93,90.32
is.B.x.txt,3.91,85.92
is.C.x.txt,17.54,76.52
