Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.B.x-1.txt,3.62,92.72,1,92.72
is.B.x-10.txt,0.47,706.59,10,70.66
is.B.x-12.txt,0.56,603.03,12,50.25
is.B.x-16.txt,0.44,765.35,16,47.83
is.B.x-2.txt,2.09,160.26,2,80.13
is.B.x-24.txt,0.33,1028.54,24,42.86
is.B.x-32.txt,0.38,883.92,32,27.62
is.B.x-4.txt,1.06,316.09,4,79.02
is.B.x-8.txt,0.56,595.70,8,74.46
