Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
ep.A.x-1.txt,19.17,28.01,1,28.01
ep.A.x-10.txt,2.10,255.09,10,25.51
ep.A.x-12.txt,2.23,240.86,12,20.07
ep.A.x-16.txt,1.78,301.75,16,18.86
ep.A.x-2.txt,9.60,55.92,2,27.96
ep.A.x-24.txt,1.54,349.35,24,14.56
ep.A.x-32.txt,1.56,344.27,32,10.76
ep.A.x-4.txt,4.83,111.10,4,27.77
ep.A.x-8.txt,2.61,205.69,8,25.71
