Ficheiro,Tempo,Mop's
cg.A.x.txt,1.47,1019.09
cg.B.x.txt,114.07,598.84
cg.C.x.txt,372.81,384.51
ep.A.x.txt,19.09,28.12
ep.B.x.txt,76.28,28.15
ep.C.x.txt,304.88,28.17
is.A.x.txt,0.83,100.61
is.B.x.txt,3.50,96.00
is.C.x.txt,15.36,87.38
