Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.A.x-1.txt,1.47,1014.77,1,1014.77
cg.A.x-10.txt,0.36,4186.18,10,418.62
cg.A.x-12.txt,0.17,8791.38,12,732.61
cg.A.x-16.txt,0.28,5279.32,16,329.96
cg.A.x-2.txt,0.78,1926.14,2,963.07
cg.A.x-24.txt,0.17,8905.96,24,371.08
cg.A.x-32.txt,0.53,2821.01,32,88.16
cg.A.x-4.txt,0.54,2796.93,4,699.23
cg.A.x-8.txt,0.42,3525.52,8,440.69
