Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
ep.C.x-1.txt,297.03,28.92,1,28.92
ep.C.x-10.txt,29.53,290.92,10,29.09
ep.C.x-12.txt,25.20,340.82,12,28.40
ep.C.x-16.txt,19.92,431.30,16,26.96
ep.C.x-2.txt,148.35,57.90,2,28.95
ep.C.x-24.txt,16.30,526.99,24,21.96
ep.C.x-32.txt,14.02,612.66,32,19.15
ep.C.x-34.txt,15.02,571.97,34,16.82
ep.C.x-4.txt,73.79,116.41,4,29.10
ep.C.x-8.txt,36.87,232.99,8,29.12
