Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.A.x-1.txt,0.98,85.24,1,85.24
is.A.x-10.txt,0.12,672.60,10,67.26
is.A.x-12.txt,0.10,815.50,12,67.96
is.A.x-16.txt,0.10,847.91,16,52.99
is.A.x-2.txt,0.60,140.46,2,70.23
is.A.x-24.txt,0.07,1163.52,24,48.48
is.A.x-32.txt,0.06,1359.43,32,42.48
is.A.x-34.txt,0.09,954.72,34,28.08
is.A.x-4.txt,0.30,277.91,4,69.48
is.A.x-8.txt,0.15,562.29,8,70.29
