Ficheiro,Tempo,Mop's
cg.A.x.txt,1.13,1328.35
cg.B.x.txt,100.37,545.05
cg.C.x.txt,284.40,504.03
ep.A.x.txt,18.33,29.30
ep.B.x.txt,73.31,29.29
ep.C.x.txt,293.33,29.28
is.A.x.txt,0.92,91.04
is.B.x.txt,3.89,86.33
is.C.x.txt,17.50,76.68
