Ficheiro,Tempo,Mop's
cg.A.x.txt,1.51,988.18
cg.B.x.txt,115.63,602.68
cg.C.x.txt,310.14,462.20
ep.A.x.txt,18.93,28.37
ep.B.x.txt,75.78,28.34
ep.C.x.txt,303.56,28.30
is.A.x.txt,0.83,100.85
is.B.x.txt,3.48,96.31
is.C.x.txt,15.31,87.65
