Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.C.x-1.txt,286.13,501.00,1,501.00
cg.C.x-10.txt,33.63,4262.15,10,426.22
cg.C.x-12.txt,36.06,3975.78,12,331.31
cg.C.x-16.txt,40.32,3555.35,16,222.21
cg.C.x-2.txt,162.44,882.47,2,441.23
cg.C.x-24.txt,27.37,5237.78,24,218.24
cg.C.x-32.txt,23.63,6066.63,32,189.58
cg.C.x-34.txt,31.70,4522.55,34,133.02
cg.C.x-4.txt,98.92,1449.11,4,362.28
cg.C.x-8.txt,39.91,3591.72,8,448.96
