Ficheiro,Tempo,Mop's
cg.A.x.txt,1.40,1067.12
cg.B.x.txt,78.18,699.79
cg.C.x.txt,235.96,607.51
ep.A.x.txt,8.73,61.47
ep.B.x.txt,34.95,61.45
ep.C.x.txt,139.33,61.65
is.A.x.txt,0.71,117.61
is.B.x.txt,3.00,111.92
is.C.x.txt,13.53,99.17
