Ficheiro,Tempo,Mop's
cg.A.x.txt,1.58,949.44
cg.B.x.txt,108.22,650.44
cg.C.x.txt,340.09,421.50
ep.A.x.txt,21.05,25.51
ep.B.x.txt,84.04,25.55
ep.C.x.txt,336.38,25.54
is.A.x.txt,0.81,103.43
is.B.x.txt,3.42,97.97
is.C.x.txt,15.34,87.51
