Ficheiro,Tempo,Mop's
cg.A.x.txt,4.35,344.02
cg.B.x.txt,203.51,268.83
cg.C.x.txt,535.55,267.66
ep.A.x.txt,16.51,32.51
ep.B.x.txt,65.93,32.57
ep.C.x.txt,264.69,32.45
is.A.x.txt,1.72,48.91
is.B.x.txt,6.97,48.14
is.C.x.txt,28.67,46.82
