Ficheiro,Tempo,Mop's
cg.A.x.txt,4.53,330.03
cg.B.x.txt,190.04,287.89
cg.C.x.txt,481.63,297.63
ep.A.x.txt,27.35,19.63
ep.B.x.txt,109.23,19.66
ep.C.x.txt,434.92,19.75
is.A.x.txt,1.27,65.94
is.B.x.txt,5.20,64.51
is.C.x.txt,22.34,60.09
