Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.B.x-1.txt,3.96,84.75,1,84.75
is.B.x-10.txt,0.49,683.92,10,68.39
is.B.x-12.txt,0.42,796.40,12,66.37
is.B.x-16.txt,0.43,778.47,16,48.65
is.B.x-2.txt,2.58,130.01,2,65.00
is.B.x-24.txt,0.31,1079.97,24,45.00
is.B.x-32.txt,0.41,815.35,32,25.48
is.B.x-34.txt,0.42,794.35,34,23.36
is.B.x-4.txt,1.17,285.81,4,71.45
is.B.x-8.txt,0.60,560.24,8,70.03
