Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.B.x-1.txt,160.53,340.79,1,340.79
cg.B.x-10.txt,15.10,3622.38,10,362.24
cg.B.x-12.txt,11.35,4820.82,12,401.74
cg.B.x-16.txt,16.38,3339.29,16,208.71
cg.B.x-2.txt,76.15,718.42,2,359.21
cg.B.x-24.txt,10.86,5037.85,24,209.91
cg.B.x-32.txt,13.59,4024.91,32,125.78
cg.B.x-34.txt,13.70,3994.12,34,117.47
cg.B.x-4.txt,30.81,1775.49,4,443.87
cg.B.x-8.txt,19.51,2804.54,8,350.57
