Ficheiro,Tempo,Mop's
cg.A.x.txt,3.72,401.99
cg.B.x.txt,177.42,308.35
cg.C.x.txt,463.30,309.40
ep.A.x.txt,14.84,36.18
ep.B.x.txt,59.36,36.18
ep.C.x.txt,237.54,36.16
is.A.x.txt,1.98,42.42
is.B.x.txt,8.04,41.72
is.C.x.txt,32.57,41.21
