Ficheiro,Tempo,Mop's
cg.A.x.txt,4.75,315.15
cg.B.x.txt,213.63,256.09
cg.C.x.txt,555.57,258.02
ep.A.x.txt,27.17,19.76
ep.B.x.txt,108.68,19.76
ep.C.x.txt,435.15,19.74
is.A.x.txt,1.27,66.21
is.B.x.txt,5.24,64.05
is.C.x.txt,22.27,60.27
