Ficheiro,Tempo,Mop's
cg.A.x.txt,1.19,1253.77
cg.B.x.txt,125.55,435.75
cg.C.x.txt,356.24,402.39
ep.A.x.txt,8.41,63.87
ep.B.x.txt,33.65,63.82
ep.C.x.txt,134.76,63.74
is.A.x.txt,0.89,94.29
is.B.x.txt,3.76,89.28
is.C.x.txt,17.06,78.67
