Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.C.x-1.txt,16.28,82.45,1,82.45
is.C.x-10.txt,2.05,656.18,10,65.62
is.C.x-12.txt,1.75,768.54,12,64.05
is.C.x-16.txt,1.91,702.47,16,43.90
is.C.x-2.txt,9.26,144.89,2,72.45
is.C.x-24.txt,1.42,944.34,24,39.35
is.C.x-32.txt,1.69,794.40,32,24.83
is.C.x-4.txt,4.69,285.88,4,71.47
is.C.x-8.txt,2.51,535.41,8,66.93
