Ficheiro,Processos,Tempo,Mops, Mops/Process
cg.A.16.txt,16,0.09,16861.68,1053.85
cg.B.16.txt,16,5.90,9276.22,579.76
cg.C.16.txt,16,21.17,6772.72,423.30
ep.A.16.txt,16,1.20,446.29,27.89
ep.B.16.txt,16,4.62,464.48,29.03
ep.C.16.txt,16,19.05,450.92,28.18
is.A.16.txt,16,0.08,1005.62,62.85
is.B.16.txt,16,0.36,943.43,58.96
is.C.16.txt,16,1.56,858.14,53.63
