Ficheiro,Tempo,Mop's
cg.A.x.txt,1.19,1260.75
cg.B.x.txt,123.69,442.32
cg.C.x.txt,358.31,400.07
ep.A.x.txt,8.37,64.16
ep.B.x.txt,33.27,64.55
ep.C.x.txt,134.34,63.94
is.A.x.txt,0.89,93.75
is.B.x.txt,3.80,88.23
is.C.x.txt,17.09,78.54
